2012-05-01 12:17:14 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 12:19:23 Notice: Notice (8): Undefined variable: xml in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-01 12:19:23 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 861]
2012-05-01 12:19:24 Notice: Notice (8): Undefined variable: xml in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-01 12:19:24 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 861]
2012-05-01 12:42:50 Notice: Notice (8): Undefined variable: xmlSalida in [/var/www/Desarroll/controllers/posts_controller.php, line 859]
2012-05-01 12:42:50 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 868]
2012-05-01 12:42:50 Notice: Notice (8): Undefined variable: xmlSalida in [/var/www/Desarroll/controllers/posts_controller.php, line 859]
2012-05-01 12:42:50 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 868]
2012-05-01 12:55:43 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 847]
2012-05-01 12:55:43 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 847]
2012-05-01 12:56:54 Notice: Notice (8): Undefined variable: xmlSalida in [/var/www/Desarroll/controllers/posts_controller.php, line 862]
2012-05-01 12:56:54 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 871]
2012-05-01 12:56:54 Notice: Notice (8): Undefined variable: xmlSalida in [/var/www/Desarroll/controllers/posts_controller.php, line 862]
2012-05-01 12:56:54 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 871]
2012-05-01 12:57:33 Notice: Notice (8): Undefined variable: xmlSalida in [/var/www/Desarroll/controllers/posts_controller.php, line 862]
2012-05-01 12:57:33 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 871]
2012-05-01 12:57:33 Notice: Notice (8): Undefined variable: xmlSalida in [/var/www/Desarroll/controllers/posts_controller.php, line 862]
2012-05-01 12:57:33 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 871]
2012-05-01 12:59:17 Notice: Notice (8): Undefined variable: xmlSalida in [/var/www/Desarroll/controllers/posts_controller.php, line 862]
2012-05-01 12:59:17 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 871]
2012-05-01 12:59:17 Notice: Notice (8): Undefined variable: xmlSalida in [/var/www/Desarroll/controllers/posts_controller.php, line 862]
2012-05-01 12:59:17 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 871]
2012-05-01 12:59:22 Notice: Notice (8): Undefined variable: xmlSalida in [/var/www/Desarroll/controllers/posts_controller.php, line 862]
2012-05-01 12:59:22 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 871]
2012-05-01 12:59:22 Notice: Notice (8): Undefined variable: xmlSalida in [/var/www/Desarroll/controllers/posts_controller.php, line 862]
2012-05-01 12:59:22 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 871]
2012-05-01 14:30:53 Notice: Notice (8): Uninitialized string offset: 1 in [/var/www/Desarroll/controllers/posts_controller.php, line 857]
2012-05-01 15:14:18 Notice: Notice (8): Use of undefined constant body - assumed 'body' in [/var/www/Desarroll/controllers/posts_controller.php, line 859]
2012-05-01 15:14:18 Notice: Notice (8): Use of undefined constant body - assumed 'body' in [/var/www/Desarroll/controllers/posts_controller.php, line 859]
2012-05-02 13:52:06 Notice: Notice (8): Undefined offset: 0 in [/var/www/Desarroll/controllers/posts_controller.php, line 854]
2012-05-02 13:52:06 Notice: Notice (8): Undefined index: persona in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:52:06 Notice: Notice (8): Undefined offset: 0 in [/var/www/Desarroll/controllers/posts_controller.php, line 854]
2012-05-02 13:52:37 Notice: Notice (8): Undefined offset: 0 in [/var/www/Desarroll/controllers/posts_controller.php, line 854]
2012-05-02 13:52:37 Notice: Notice (8): Undefined index: persona in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:52:37 Notice: Notice (8): Undefined offset: 0 in [/var/www/Desarroll/controllers/posts_controller.php, line 854]
2012-05-02 13:52:41 Notice: Notice (8): Undefined offset: 0 in [/var/www/Desarroll/controllers/posts_controller.php, line 854]
2012-05-02 13:52:47 Notice: Notice (8): Undefined offset: 0 in [/var/www/Desarroll/controllers/posts_controller.php, line 854]
2012-05-02 13:52:47 Notice: Notice (8): Undefined index: persona in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:52:47 Notice: Notice (8): Undefined offset: 0 in [/var/www/Desarroll/controllers/posts_controller.php, line 854]
2012-05-02 13:53:08 Notice: Notice (8): Undefined offset: 1 in [/var/www/Desarroll/controllers/posts_controller.php, line 854]
2012-05-02 13:53:08 Notice: Notice (8): Undefined index: persona in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:53:08 Notice: Notice (8): Undefined offset: 1 in [/var/www/Desarroll/controllers/posts_controller.php, line 854]
2012-05-02 13:53:27 Notice: Notice (8): Undefined index: persona in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:53:43 Notice: Notice (8): Undefined index: hola in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:53:43 Notice: Notice (8): Undefined index: hola in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:54:28 Notice: Notice (8): Undefined index: persona in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:55:49 Notice: Notice (8): Undefined index: persona in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:55:49 Notice: Notice (8): Undefined index: persona in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:56:12 Notice: Notice (8): Undefined index: persona in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:56:12 Notice: Notice (8): Undefined index: persona in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 13:56:13 Notice: Notice (8): Undefined index: persona in [/var/www/Desarroll/controllers/posts_controller.php, line 853]
2012-05-02 14:03:22 Notice: Notice (8): Undefined property: Xml::$children in [/usr/share/php/cake/libs/controller/components/request_handler.php, line 253]
2012-05-02 14:03:22 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/controllers/posts_controller.php, line 1942]
2012-05-02 14:03:22 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/controllers/posts_controller.php, line 1945]
2012-05-02 14:14:26 Notice: Notice (8): Undefined property: Xml::$children in [/usr/share/php/cake/libs/controller/components/request_handler.php, line 253]
2012-05-02 14:14:26 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/libs/Cake/Utility/Xml.php, line 292]
2012-05-02 14:14:26 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/libs/Cake/Utility/Xml.php, line 295]
2012-05-02 16:13:25 Notice: Notice (8): Undefined property: Xml::$children in [/usr/share/php/cake/libs/controller/components/request_handler.php, line 253]
2012-05-02 16:13:25 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/libs/Cake/Utility/Xml.php, line 292]
2012-05-02 16:13:25 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/libs/Cake/Utility/Xml.php, line 295]
2012-05-02 16:14:19 Notice: Notice (8): Undefined property: Xml::$children in [/usr/share/php/cake/libs/controller/components/request_handler.php, line 253]
2012-05-02 16:14:19 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/libs/Cake/Utility/Xml.php, line 292]
2012-05-02 16:14:19 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/libs/Cake/Utility/Xml.php, line 295]
2012-05-02 16:20:04 Notice: Notice (8): Undefined index: sesion in [/var/www/Desarroll/controllers/posts_controller.php, line 873]
2012-05-02 16:20:04 Notice: Notice (8): Undefined index: sesion in [/var/www/Desarroll/controllers/posts_controller.php, line 873]
2012-05-02 16:25:00 Notice: Notice (8): Undefined variable: result in [/var/www/Desarroll/controllers/posts_controller.php, line 886]
2012-05-02 16:38:03 Notice: Notice (8): Undefined index: sesion in [/var/www/Desarroll/views/posts/index.ctp, line 7]
2012-05-02 19:54:48 Notice: Notice (8): Undefined property: PostsController::$Form in [/var/www/Desarroll/controllers/posts_controller.php, line 67]
2012-05-02 20:09:52 Notice: Notice (8): Undefined property: PostsController::$Form in [/var/www/Desarroll/controllers/posts_controller.php, line 67]
2012-05-02 21:01:27 Notice: Notice (8): Undefined property: PostsController::$Form in [/var/www/Desarroll/controllers/posts_controller.php, line 67]
2012-05-02 21:01:27 Notice: Notice (8): Undefined property: PostsController::$Form in [/var/www/Desarroll/controllers/posts_controller.php, line 67]
2012-05-02 21:09:04 Notice: Notice (8): Undefined variable: control in [/var/www/Desarroll/controllers/posts_controller.php, line 78]
2012-05-02 21:09:04 Notice: Notice (8): Undefined variable: control in [/var/www/Desarroll/controllers/posts_controller.php, line 78]
2012-05-02 21:10:09 Notice: Notice (8): Undefined variable: control in [/var/www/Desarroll/controllers/posts_controller.php, line 78]
2012-05-02 21:10:09 Notice: Notice (8): Undefined variable: control in [/var/www/Desarroll/controllers/posts_controller.php, line 78]
2012-05-02 21:12:00 Notice: Notice (8): Undefined variable: control in [/var/www/Desarroll/controllers/posts_controller.php, line 78]
2012-05-02 21:12:00 Notice: Notice (8): Undefined variable: control in [/var/www/Desarroll/controllers/posts_controller.php, line 78]
2012-05-02 23:24:32 Notice: Notice (8): Undefined property: Xml::$children in [/usr/share/php/cake/libs/controller/components/request_handler.php, line 253]
2012-05-02 23:24:32 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/libs/Cake/Utility/Xml.php, line 292]
2012-05-02 23:24:32 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/libs/Cake/Utility/Xml.php, line 295]
2012-05-04 10:52:07 Notice: Notice (8): Undefined index: sesion in [/var/www/Desarroll/views/posts/index.ctp, line 7]
2012-05-04 13:28:48 Notice: Notice (8): Undefined property: Xml::$children in [/usr/share/php/cake/libs/controller/components/request_handler.php, line 253]
2012-05-04 13:28:48 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/libs/Cake/Utility/Xml.php, line 292]
2012-05-04 13:28:48 Notice: Notice (8): Undefined variable: obj in [/var/www/Desarroll/libs/Cake/Utility/Xml.php, line 295]
2012-05-04 13:33:57 Notice: Notice (8): Undefined variable: result in [/var/www/Desarroll/controllers/posts_controller.php, line 107]
2012-05-04 13:33:57 Notice: Notice (8): Undefined variable: result in [/var/www/Desarroll/controllers/posts_controller.php, line 107]
2012-05-04 13:41:41 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/posts_controller.php, line 107]
2012-05-04 13:41:41 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/posts_controller.php, line 107]
2012-05-04 13:46:35 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/posts_controller.php, line 107]
2012-05-04 13:46:35 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/posts_controller.php, line 107]
2012-05-04 13:47:06 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/posts_controller.php, line 108]
2012-05-04 13:47:07 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/posts_controller.php, line 108]
2012-05-04 13:48:21 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/posts_controller.php, line 108]
2012-05-04 14:35:41 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 108]
